***** Observation. ORDER 1 *****
64,74,84 -> 83 : 1
84,74,84 -> 83 : 2
84,74,84 -> 85 : 1
74,84,83 -> 82 : 2
74,84,83 -> 73 : 1
74,84,83 -> 93 : 1
94,84,83 -> 82 : 1
94,84,83 -> 93 : 1
84,83,82 -> 72 : 2
84,83,82 -> 81 : 1
84,83,82 -> 83 : 1
83,82,72 -> 71 : 3
83,93,94 -> 93 : 1
94,93,94 -> 4 : 2
8,98,99 -> 98 : 1
99,98,99 -> 98 : 1
99,98,99 -> 90 : 2
98,99,98 -> 99 : 1
98,99,98 -> 97 : 1
99,98,97 -> 98 : 1
88,98,97 -> 96 : 2
73,72,71 -> 72 : 2
73,72,71 -> 61 : 2
71,70,79 -> 70 : 1
71,70,79 -> 69 : 2
70,71,72 -> 73 : 2
72,71,72 -> 73 : 1
72,71,72 -> 71 : 3
72,71,72 -> 62 : 1
72,71,72 -> 82 : 2
72,73,72 -> 71 : 1
72,73,72 -> 73 : 2
72,73,72 -> 62 : 1
83,73,72 -> 71 : 1
71,72,73 -> 72 : 3
73,72,73 -> 63 : 1
73,72,73 -> 72 : 1
41,40,30 -> 39 : 1
41,40,30 -> 20 : 1
49,40,30 -> 31 : 1
49,48,58 -> 59 : 3
47,46,45 -> 46 : 3
47,46,45 -> 55 : 1
47,46,45 -> 35 : 1
45,46,45 -> 46 : 1
45,46,45 -> 44 : 3
45,46,45 -> 35 : 2
46,45,46 -> 45 : 2
46,45,46 -> 36 : 1
46,45,46 -> 47 : 1
46,45,46 -> 56 : 1
25,24,14 -> 24 : 1
14,24,14 -> 15 : 1
85,75,74 -> 75 : 1
74,75,74 -> 73 : 1
89,99,98 -> 99 : 1
9,99,98 -> 99 : 1
98,99,90 -> 91 : 1
98,99,90 -> 0 : 1
92,2,1 -> 0 : 1
92,2,1 -> 2 : 1
1,2,1 -> 0 : 1
2,1,0 -> 9 : 1
2,1,0 -> 10 : 2
2,1,0 -> 90 : 1
1,0,9 -> 99 : 1
90,0,9 -> 19 : 1
53,52,42 -> 41 : 2
53,52,42 -> 43 : 1
53,52,42 -> 52 : 1
32,42,52 -> 53 : 1
52,53,52 -> 42 : 2
52,53,52 -> 51 : 1
42,52,53 -> 52 : 2
42,52,53 -> 54 : 1
51,52,53 -> 52 : 1
58,59,69 -> 60 : 1
58,59,69 -> 59 : 2
69,59,69 -> 59 : 1
69,59,69 -> 68 : 1
69,59,69 -> 79 : 1
60,69,68 -> 69 : 1
68,69,68 -> 58 : 1
68,69,68 -> 78 : 1
79,69,68 -> 67 : 1
56,57,58 -> 59 : 1
56,57,58 -> 68 : 3
58,57,58 -> 48 : 2
68,58,48 -> 58 : 3
57,58,48 -> 38 : 1
57,58,48 -> 47 : 2
48,58,59 -> 69 : 2
48,58,59 -> 58 : 2
48,58,59 -> 50 : 1
57,58,59 -> 69 : 2
59,69,59 -> 69 : 1
59,69,59 -> 58 : 3
59,69,59 -> 50 : 1
59,69,59 -> 49 : 1
19,29,39 -> 38 : 1
19,29,39 -> 49 : 1
28,29,39 -> 29 : 2
39,38,37 -> 27 : 1
39,38,37 -> 36 : 1
39,38,37 -> 47 : 1
28,38,37 -> 36 : 1
28,38,37 -> 38 : 1
37,27,28 -> 27 : 2
28,27,28 -> 38 : 1
28,27,28 -> 27 : 1
28,27,28 -> 18 : 1
21,31,32 -> 31 : 2
21,31,32 -> 22 : 1
21,31,32 -> 42 : 1
21,31,32 -> 33 : 1
32,31,32 -> 42 : 1
32,31,32 -> 22 : 1
54,64,74 -> 64 : 1
54,64,74 -> 75 : 1
74,64,74 -> 84 : 1
5,4,14 -> 4 : 2
14,4,14 -> 24 : 1
3,4,14 -> 13 : 1
6,5,95 -> 5 : 1
95,5,95 -> 96 : 2
95,5,95 -> 94 : 2
95,5,95 -> 85 : 3
5,6,5 -> 95 : 1
96,6,5 -> 6 : 1
15,5,6 -> 5 : 1
15,5,6 -> 16 : 1
6,5,6 -> 96 : 1
6,96,86 -> 96 : 1
97,96,86 -> 76 : 1
87,88,87 -> 77 : 1
89,88,87 -> 97 : 1
88,98,8 -> 98 : 1
8,98,8 -> 7 : 1
98,8,7 -> 8 : 1
7,8,7 -> 97 : 1
7,8,7 -> 8 : 1
96,86,76 -> 75 : 1
85,86,76 -> 66 : 1
44,45,46 -> 56 : 1
44,45,46 -> 45 : 1
44,45,46 -> 36 : 1
36,46,47 -> 48 : 1
36,46,47 -> 46 : 1
58,59,58 -> 59 : 1
58,59,58 -> 48 : 1
50,59,58 -> 68 : 1
50,59,58 -> 57 : 1
49,39,38 -> 39 : 1
38,39,38 -> 48 : 1
38,39,38 -> 39 : 2
38,39,38 -> 37 : 1
47,57,56 -> 57 : 1
47,57,56 -> 46 : 2
56,57,56 -> 46 : 1
56,57,56 -> 57 : 2
56,57,56 -> 66 : 1
65,66,56 -> 46 : 1
65,66,56 -> 55 : 1
65,66,56 -> 66 : 1
57,56,46 -> 36 : 1
57,56,46 -> 56 : 1
66,56,46 -> 56 : 1
66,56,46 -> 36 : 1
66,56,46 -> 47 : 1
46,45,55 -> 56 : 1
46,45,55 -> 45 : 2
46,45,55 -> 54 : 1
35,45,55 -> 54 : 1
35,45,55 -> 45 : 1
58,59,49 -> 59 : 2
48,49,59 -> 58 : 1
48,49,59 -> 50 : 2
59,49,59 -> 69 : 2
39,49,59 -> 58 : 1
39,49,59 -> 69 : 2
49,59,58 -> 59 : 2
69,68,58 -> 68 : 1
58,68,58 -> 48 : 2
58,68,58 -> 68 : 1
49,59,69 -> 68 : 1
49,59,69 -> 60 : 1
49,59,69 -> 59 : 1
38,37,38 -> 48 : 1
38,37,38 -> 28 : 1
47,37,38 -> 28 : 1
47,37,38 -> 48 : 1
48,38,28 -> 29 : 1
37,38,28 -> 18 : 1
37,38,28 -> 38 : 1
39,29,39 -> 38 : 1
28,18,19 -> 9 : 1
8,18,19 -> 29 : 2
24,34,24 -> 14 : 2
24,34,24 -> 34 : 2
24,34,24 -> 23 : 1
33,34,24 -> 25 : 1
33,34,24 -> 34 : 1
97,7,6 -> 96 : 1
97,7,6 -> 7 : 1
16,6,96 -> 86 : 1
7,6,96 -> 95 : 1
7,6,96 -> 97 : 1
6,5,4 -> 5 : 1
15,5,4 -> 14 : 1
15,5,4 -> 3 : 1
94,4,14 -> 13 : 1
92,91,1 -> 0 : 1
90,91,1 -> 11 : 1
90,91,1 -> 0 : 1
90,91,1 -> 2 : 2
32,33,34 -> 33 : 1
43,33,34 -> 35 : 1
43,33,34 -> 44 : 2
52,42,52 -> 62 : 1
63,53,52 -> 42 : 2
42,52,62 -> 63 : 1
42,52,62 -> 72 : 1
52,62,63 -> 64 : 1
63,62,63 -> 53 : 2
63,64,63 -> 62 : 1
63,64,63 -> 64 : 1
74,64,63 -> 53 : 1
62,63,64 -> 63 : 1
62,63,64 -> 54 : 1
53,63,64 -> 74 : 1
53,63,64 -> 63 : 1
62,63,53 -> 52 : 1
62,63,53 -> 63 : 1
64,63,53 -> 52 : 1
64,63,53 -> 54 : 1
35,45,35 -> 36 : 3
35,45,35 -> 45 : 2
35,45,35 -> 25 : 1
46,45,35 -> 25 : 1
46,45,35 -> 34 : 1
46,45,35 -> 36 : 2
73,74,84 -> 94 : 1
85,84,83 -> 93 : 1
85,84,83 -> 82 : 1
93,83,82 -> 72 : 1
93,83,82 -> 83 : 1
93,83,82 -> 81 : 1
82,81,82 -> 92 : 1
82,81,82 -> 72 : 3
82,81,82 -> 81 : 4
82,81,82 -> 83 : 1
81,82,72 -> 73 : 1
72,82,81 -> 82 : 1
92,82,81 -> 80 : 1
92,82,81 -> 82 : 1
92,82,81 -> 71 : 1
92,82,81 -> 91 : 2
83,82,81 -> 82 : 4
83,82,81 -> 80 : 1
83,82,81 -> 71 : 1
30,31,32 -> 33 : 1
30,31,32 -> 42 : 1
30,31,32 -> 31 : 1
38,28,38 -> 28 : 1
38,28,38 -> 39 : 2
27,28,27 -> 28 : 1
27,28,27 -> 37 : 1
28,38,28 -> 38 : 1
64,63,64 -> 74 : 1
64,63,64 -> 65 : 1
63,64,74 -> 84 : 1
63,64,74 -> 73 : 1
75,76,86 -> 87 : 1
66,76,86 -> 85 : 1
76,86,85 -> 86 : 1
87,86,85 -> 75 : 1
44,45,55 -> 54 : 2
44,45,55 -> 65 : 1
65,55,54 -> 53 : 2
65,55,54 -> 55 : 2
45,55,54 -> 53 : 2
45,55,54 -> 64 : 2
54,44,45 -> 55 : 1
54,44,45 -> 35 : 1
65,64,63 -> 73 : 1
82,81,91 -> 90 : 2
82,81,91 -> 81 : 1
82,81,91 -> 1 : 1
58,57,47 -> 48 : 1
58,57,47 -> 37 : 1
67,57,47 -> 37 : 2
39,29,20 -> 29 : 2
20,29,20 -> 29 : 1
20,29,20 -> 10 : 1
11,10,0 -> 90 : 1
11,10,0 -> 9 : 1
11,10,0 -> 1 : 1
0,1,11 -> 12 : 3
0,1,11 -> 1 : 2
0,1,11 -> 10 : 1
2,1,11 -> 10 : 1
12,2,92 -> 82 : 1
12,2,92 -> 91 : 1
12,2,92 -> 93 : 1
92,2,92 -> 91 : 2
92,2,92 -> 82 : 1
4,94,93 -> 94 : 2
4,94,93 -> 83 : 1
95,94,93 -> 92 : 1
95,94,93 -> 94 : 1
2,3,93 -> 94 : 1
2,3,93 -> 3 : 1
83,84,85 -> 84 : 1
85,84,85 -> 95 : 1
13,3,4 -> 94 : 2
93,3,4 -> 3 : 1
93,3,4 -> 94 : 1
93,94,4 -> 3 : 1
93,94,4 -> 94 : 1
94,4,3 -> 93 : 1
94,4,3 -> 2 : 1
3,4,3 -> 2 : 1
3,4,94 -> 93 : 3
3,4,94 -> 4 : 1
94,4,94 -> 95 : 1
94,4,94 -> 84 : 1
3,93,94 -> 4 : 1
93,92,91 -> 92 : 1
2,92,91 -> 1 : 1
2,92,91 -> 92 : 1
2,92,91 -> 81 : 1
15,25,15 -> 25 : 1
35,25,15 -> 16 : 1
35,25,15 -> 5 : 1
14,15,25 -> 15 : 1
25,15,25 -> 35 : 1
25,35,25 -> 26 : 1
25,35,25 -> 15 : 1
15,25,35 -> 25 : 1
26,25,35 -> 25 : 1
16,15,16 -> 17 : 1
25,15,16 -> 6 : 2
56,55,54 -> 55 : 1
34,35,45 -> 35 : 1
34,35,45 -> 55 : 1
45,35,45 -> 55 : 1
45,35,45 -> 35 : 1
45,35,45 -> 46 : 1
33,34,35 -> 36 : 2
35,34,35 -> 45 : 1
35,34,35 -> 34 : 1
74,73,63 -> 73 : 2
63,73,63 -> 73 : 1
64,74,73 -> 63 : 1
64,74,73 -> 74 : 1
84,74,73 -> 74 : 1
73,63,73 -> 63 : 1
73,63,73 -> 83 : 1
63,73,83 -> 82 : 1
72,73,83 -> 84 : 1
82,92,93 -> 92 : 1
93,92,93 -> 83 : 2
53,52,53 -> 43 : 1
20,29,19 -> 10 : 1
39,29,19 -> 29 : 1
19,29,19 -> 10 : 1
18,19,10 -> 20 : 1
29,19,10 -> 20 : 1
29,19,10 -> 19 : 1
19,10,20 -> 29 : 1
19,10,20 -> 30 : 2
19,10,20 -> 10 : 1
19,10,20 -> 21 : 1
41,31,30 -> 31 : 1
21,31,30 -> 31 : 1
21,31,30 -> 39 : 1
20,30,31 -> 41 : 1
31,30,31 -> 41 : 2
31,41,31 -> 30 : 1
31,41,31 -> 21 : 1
31,21,31 -> 30 : 1
31,21,31 -> 32 : 2
31,21,31 -> 41 : 1
20,21,31 -> 30 : 1
20,21,31 -> 21 : 3
20,21,31 -> 32 : 1
30,31,41 -> 31 : 2
30,31,41 -> 42 : 1
0,9,0 -> 9 : 1
0,9,0 -> 90 : 1
0,9,0 -> 1 : 1
8,9,0 -> 1 : 1
8,9,0 -> 9 : 1
10,0,9 -> 0 : 1
9,0,9 -> 0 : 2
9,0,9 -> 99 : 1
90,99,90 -> 99 : 1
90,99,90 -> 91 : 1
9,99,90 -> 91 : 1
0,90,99 -> 90 : 1
99,90,99 -> 90 : 1
99,90,91 -> 1 : 1
99,90,91 -> 92 : 1
1,0,1 -> 2 : 1
9,0,1 -> 11 : 2
2,3,13 -> 14 : 1
93,3,13 -> 14 : 1
93,3,13 -> 12 : 1
3,13,14 -> 4 : 2
13,14,4 -> 5 : 1
13,14,4 -> 3 : 1
48,47,48 -> 58 : 1
48,47,48 -> 38 : 1
48,47,48 -> 47 : 2
49,48,47 -> 48 : 2
49,48,47 -> 46 : 1
49,48,47 -> 57 : 1
47,48,47 -> 48 : 2
47,48,47 -> 57 : 1
47,48,47 -> 46 : 2
68,58,68 -> 67 : 2
68,58,68 -> 69 : 1
57,58,68 -> 58 : 2
57,58,68 -> 67 : 2
58,68,69 -> 59 : 2
98,99,9 -> 8 : 2
9,99,9 -> 8 : 2
9,99,9 -> 0 : 1
9,8,9 -> 0 : 1
9,8,9 -> 8 : 1
9,8,9 -> 99 : 1
18,8,9 -> 99 : 1
18,8,9 -> 0 : 1
99,9,8 -> 9 : 2
99,9,8 -> 98 : 1
99,9,8 -> 7 : 1
67,57,56 -> 57 : 1
67,57,56 -> 66 : 1
46,56,57 -> 67 : 1
46,56,57 -> 56 : 1
67,68,58 -> 68 : 1
67,68,58 -> 59 : 1
40,50,59 -> 49 : 1
40,50,59 -> 69 : 1
51,50,59 -> 58 : 2
69,59,49 -> 40 : 1
50,59,49 -> 39 : 1
59,49,40 -> 30 : 1
59,49,40 -> 41 : 1
39,49,40 -> 41 : 1
40,41,51 -> 41 : 1
40,41,51 -> 61 : 2
58,48,47 -> 48 : 1
58,48,47 -> 57 : 1
58,48,47 -> 37 : 1
7,97,98 -> 97 : 1
98,97,98 -> 97 : 1
97,98,97 -> 98 : 1
97,98,97 -> 7 : 1
87,97,7 -> 8 : 1
98,97,7 -> 8 : 1
9,8,7 -> 97 : 1
18,8,7 -> 6 : 1
97,7,8 -> 18 : 1
97,7,8 -> 7 : 1
17,7,8 -> 18 : 1
8,7,8 -> 18 : 1
6,7,8 -> 9 : 1
0,9,8 -> 7 : 1
8,9,8 -> 18 : 2
8,9,8 -> 9 : 1
7,8,18 -> 28 : 2
7,8,18 -> 17 : 1
9,8,18 -> 28 : 1
8,18,28 -> 27 : 1
8,18,28 -> 29 : 2
28,29,28 -> 29 : 1
28,29,28 -> 27 : 1
18,28,27 -> 26 : 1
18,28,27 -> 28 : 2
29,28,27 -> 28 : 1
29,28,27 -> 26 : 1
16,17,16 -> 6 : 1
16,17,16 -> 15 : 1
16,17,16 -> 17 : 1
26,16,17 -> 16 : 1
6,16,17 -> 16 : 1
18,28,29 -> 28 : 1
18,28,29 -> 20 : 1
29,28,29 -> 28 : 1
27,28,29 -> 19 : 1
91,81,82 -> 72 : 1
71,81,82 -> 81 : 2
71,81,82 -> 72 : 1
81,82,81 -> 82 : 4
81,82,81 -> 80 : 2
81,82,81 -> 91 : 1
15,25,26 -> 16 : 1
15,25,26 -> 25 : 1
24,25,26 -> 25 : 1
26,25,26 -> 16 : 1
26,25,26 -> 27 : 1
27,17,27 -> 28 : 1
7,17,27 -> 37 : 1
38,28,27 -> 17 : 1
26,27,17 -> 27 : 1
28,27,17 -> 18 : 1
27,28,18 -> 8 : 2
18,8,18 -> 28 : 1
18,8,18 -> 8 : 1
28,18,8 -> 18 : 2
8,18,8 -> 7 : 1
25,26,16 -> 17 : 1
25,26,16 -> 15 : 1
17,16,15 -> 25 : 1
26,16,15 -> 14 : 1
97,96,95 -> 96 : 1
95,96,95 -> 94 : 2
95,96,95 -> 85 : 1
11,1,11 -> 10 : 1
11,1,11 -> 1 : 1
11,1,11 -> 12 : 1
9,0,10 -> 0 : 1
10,0,10 -> 11 : 1
11,10,19 -> 10 : 1
19,10,19 -> 9 : 1
10,0,1 -> 11 : 1
1,11,10 -> 0 : 1
12,11,10 -> 0 : 1
21,11,10 -> 20 : 1
9,19,10 -> 20 : 1
9,19,10 -> 19 : 1
10,19,10 -> 20 : 1
10,19,10 -> 0 : 1
10,20,10 -> 11 : 1
30,20,10 -> 19 : 1
11,10,20 -> 30 : 1
10,11,12 -> 13 : 1
1,11,12 -> 22 : 2
30,20,21 -> 22 : 1
10,20,21 -> 31 : 1
63,53,43 -> 53 : 1
43,53,43 -> 42 : 1
31,32,33 -> 32 : 1
93,94,93 -> 92 : 1
91,90,99 -> 90 : 1
80,90,99 -> 98 : 1
76,66,65 -> 66 : 1
76,66,65 -> 55 : 1
65,66,65 -> 55 : 1
65,66,65 -> 64 : 1
56,66,65 -> 55 : 1
75,74,64 -> 54 : 1
64,74,64 -> 63 : 1
31,41,42 -> 52 : 1
51,41,42 -> 32 : 1
22,32,33 -> 32 : 1
43,33,32 -> 33 : 1
32,33,32 -> 22 : 1
32,33,32 -> 31 : 1
32,33,32 -> 33 : 1
23,33,32 -> 22 : 1
32,22,32 -> 31 : 1
21,22,32 -> 33 : 1
33,32,22 -> 32 : 1
33,32,22 -> 23 : 1
22,32,31 -> 32 : 1
31,32,31 -> 41 : 1
33,32,31 -> 30 : 1
62,61,60 -> 50 : 1
62,61,60 -> 69 : 2
51,61,60 -> 61 : 2
34,33,23 -> 33 : 1
34,33,23 -> 22 : 1
34,33,23 -> 24 : 1
32,33,23 -> 13 : 1
91,1,0 -> 1 : 1
91,1,0 -> 10 : 1
37,36,46 -> 47 : 1
46,47,57 -> 58 : 1
46,47,57 -> 47 : 1
48,47,57 -> 67 : 1
48,47,57 -> 47 : 1
65,66,76 -> 86 : 1
66,76,75 -> 76 : 2
66,76,75 -> 74 : 1
66,76,75 -> 65 : 1
77,76,75 -> 65 : 1
5,6,96 -> 6 : 1
86,96,95 -> 96 : 1
95,85,95 -> 94 : 3
95,85,95 -> 5 : 1
95,85,95 -> 85 : 2
95,94,95 -> 85 : 1
95,94,95 -> 5 : 1
95,94,95 -> 96 : 1
95,94,95 -> 94 : 1
96,95,85 -> 95 : 2
85,95,94 -> 95 : 3
3,93,3 -> 93 : 2
83,84,83 -> 84 : 2
83,84,83 -> 93 : 1
93,83,84 -> 83 : 2
93,83,84 -> 94 : 1
84,83,84 -> 83 : 1
84,83,84 -> 85 : 1
44,45,35 -> 36 : 1
44,45,35 -> 45 : 1
44,45,35 -> 34 : 1
45,55,45 -> 44 : 1
45,55,45 -> 35 : 2
45,55,45 -> 55 : 1
45,55,45 -> 46 : 1
26,25,15 -> 16 : 1
83,93,92 -> 82 : 1
3,93,92 -> 91 : 1
3,93,92 -> 82 : 1
81,80,90 -> 0 : 1
90,80,90 -> 91 : 1
80,90,0 -> 1 : 1
11,1,0 -> 90 : 1
11,1,0 -> 1 : 1
12,11,1 -> 11 : 2
1,11,1 -> 0 : 2
11,12,11 -> 10 : 1
13,12,11 -> 1 : 1
22,21,31 -> 32 : 1
22,21,31 -> 21 : 1
32,42,32 -> 42 : 2
32,42,32 -> 31 : 1
31,32,42 -> 32 : 1
31,32,42 -> 43 : 1
42,32,42 -> 32 : 2
44,43,44 -> 45 : 1
44,43,44 -> 54 : 1
42,43,44 -> 34 : 2
25,24,34 -> 33 : 2
25,24,34 -> 24 : 1
34,24,34 -> 24 : 3
34,24,34 -> 44 : 2
66,67,77 -> 87 : 2
57,67,77 -> 87 : 2
57,67,77 -> 76 : 1
77,87,77 -> 76 : 1
77,87,77 -> 78 : 1
77,87,77 -> 87 : 1
88,87,77 -> 78 : 1
88,87,77 -> 87 : 1
67,77,87 -> 77 : 2
67,77,87 -> 86 : 3
76,77,87 -> 88 : 1
76,77,87 -> 86 : 1
76,77,87 -> 77 : 1
47,57,47 -> 57 : 1
47,57,47 -> 48 : 1
57,47,57 -> 67 : 1
81,91,92 -> 93 : 2
90,91,92 -> 2 : 1
2,1,2 -> 12 : 2
3,2,1 -> 0 : 1
3,2,1 -> 91 : 1
64,54,44 -> 34 : 1
55,54,44 -> 43 : 1
55,54,44 -> 45 : 1
78,88,89 -> 88 : 1
87,88,89 -> 99 : 1
92,82,72 -> 71 : 1
72,82,72 -> 71 : 1
61,62,72 -> 71 : 1
61,62,72 -> 62 : 1
81,71,61 -> 62 : 1
52,51,52 -> 51 : 1
41,51,52 -> 62 : 1
61,51,52 -> 53 : 1
51,52,51 -> 41 : 1
53,43,44 -> 43 : 1
55,65,55 -> 65 : 1
55,65,55 -> 54 : 1
75,65,55 -> 65 : 1
54,55,65 -> 55 : 1
54,55,65 -> 64 : 1
65,55,65 -> 75 : 1
65,55,65 -> 55 : 1
65,55,65 -> 64 : 1
45,55,65 -> 66 : 1
45,55,65 -> 75 : 1
77,67,68 -> 67 : 1
77,67,68 -> 78 : 1
68,67,68 -> 78 : 2
68,67,68 -> 69 : 2
68,67,68 -> 67 : 1
68,78,79 -> 70 : 1
79,78,79 -> 89 : 1
81,71,70 -> 60 : 2
81,71,70 -> 71 : 3
81,71,70 -> 79 : 2
81,71,70 -> 80 : 1
71,81,91 -> 1 : 1
81,91,1 -> 91 : 1
81,91,1 -> 0 : 1
63,62,61 -> 71 : 1
72,62,61 -> 71 : 1
62,61,71 -> 81 : 1
62,61,71 -> 72 : 1
71,81,71 -> 70 : 2
91,81,71 -> 70 : 4
71,70,71 -> 81 : 2
71,70,71 -> 72 : 1
61,71,81 -> 71 : 1
70,71,81 -> 80 : 2
70,71,81 -> 91 : 1
70,71,81 -> 71 : 1
70,71,81 -> 82 : 2
81,91,81 -> 71 : 2
51,61,51 -> 41 : 1
51,61,51 -> 52 : 1
49,48,49 -> 40 : 1
49,48,49 -> 59 : 1
49,40,49 -> 40 : 1
49,40,49 -> 48 : 1
40,49,48 -> 47 : 1
39,49,48 -> 47 : 1
37,38,48 -> 49 : 1
37,38,48 -> 47 : 1
37,38,48 -> 38 : 1
39,38,48 -> 49 : 1
39,38,48 -> 47 : 1
48,49,40 -> 49 : 1
40,49,40 -> 49 : 1
40,49,40 -> 50 : 1
48,49,39 -> 38 : 1
48,49,39 -> 49 : 2
39,49,39 -> 49 : 2
76,66,56 -> 55 : 2
76,66,56 -> 57 : 1
57,56,66 -> 76 : 2
57,56,66 -> 56 : 1
55,56,66 -> 56 : 2
55,56,66 -> 65 : 1
75,76,66 -> 56 : 1
77,76,66 -> 56 : 1
76,75,76 -> 66 : 1
76,75,76 -> 86 : 1
74,75,76 -> 75 : 1
75,76,75 -> 76 : 1
75,76,75 -> 65 : 1
83,73,74 -> 73 : 1
74,73,74 -> 75 : 1
73,74,73 -> 83 : 1
73,74,73 -> 72 : 1
75,74,73 -> 74 : 1
56,55,65 -> 55 : 1
58,48,49 -> 39 : 1
69,59,50 -> 51 : 1
69,59,50 -> 60 : 1
60,69,59 -> 58 : 1
60,69,59 -> 69 : 1
69,59,58 -> 48 : 2
69,59,58 -> 68 : 2
69,59,58 -> 57 : 1
56,46,47 -> 37 : 2
56,46,47 -> 46 : 1
53,54,44 -> 54 : 1
44,54,44 -> 43 : 1
44,54,44 -> 54 : 1
84,83,93 -> 3 : 1
93,83,73 -> 74 : 1
84,83,73 -> 83 : 1
87,88,98 -> 88 : 1
98,88,98 -> 99 : 1
24,34,44 -> 34 : 3
24,34,44 -> 54 : 1
43,33,23 -> 22 : 1
43,33,23 -> 33 : 1
34,24,23 -> 24 : 1
34,24,23 -> 13 : 1
23,24,23 -> 13 : 1
33,23,22 -> 21 : 1
33,23,22 -> 23 : 1
41,40,41 -> 51 : 1
41,40,41 -> 42 : 1
50,40,41 -> 42 : 1
51,50,40 -> 49 : 1
51,50,40 -> 30 : 1
48,38,39 -> 38 : 1
39,38,39 -> 49 : 1
39,38,39 -> 38 : 2
29,39,38 -> 48 : 1
29,39,38 -> 39 : 1
38,48,47 -> 37 : 1
38,48,47 -> 48 : 1
13,23,24 -> 14 : 1
22,23,24 -> 34 : 1
33,23,24 -> 34 : 1
24,23,24 -> 23 : 1
14,15,14 -> 15 : 1
25,15,14 -> 4 : 1
14,24,34 -> 24 : 1
14,24,34 -> 44 : 1
23,24,34 -> 33 : 1
23,24,34 -> 44 : 1
13,14,15 -> 14 : 1
15,14,15 -> 5 : 1
4,14,15 -> 16 : 1
91,92,82 -> 81 : 1
93,92,82 -> 81 : 2
53,54,53 -> 63 : 1
53,54,53 -> 54 : 1
53,54,53 -> 43 : 1
92,91,92 -> 82 : 1
92,93,92 -> 82 : 1
92,93,92 -> 2 : 1
1,2,3 -> 13 : 2
1,2,3 -> 4 : 1
12,2,3 -> 93 : 1
13,3,93 -> 92 : 1
13,12,2 -> 12 : 1
13,12,2 -> 1 : 2
2,12,2 -> 3 : 1
25,35,45 -> 35 : 1
25,35,45 -> 44 : 1
36,35,45 -> 46 : 1
34,35,34 -> 33 : 1
35,45,46 -> 45 : 2
55,45,46 -> 45 : 2
55,45,46 -> 36 : 1
46,45,44 -> 43 : 1
46,45,44 -> 45 : 1
46,45,44 -> 54 : 1
25,15,5 -> 4 : 1
25,15,5 -> 95 : 1
14,15,5 -> 95 : 1
14,15,5 -> 6 : 1
84,94,4 -> 5 : 2
84,94,4 -> 14 : 1
95,94,4 -> 3 : 1
5,4,3 -> 2 : 2
5,4,3 -> 13 : 1
4,3,2 -> 3 : 1
4,3,2 -> 12 : 1
2,92,93 -> 92 : 1
92,93,83 -> 82 : 1
92,93,83 -> 93 : 1
81,82,83 -> 84 : 1
82,83,84 -> 94 : 1
82,83,84 -> 74 : 1
83,84,94 -> 4 : 1
83,84,94 -> 95 : 1
5,95,94 -> 93 : 1
94,95,94 -> 95 : 1
94,95,94 -> 4 : 1
15,5,95 -> 85 : 1
15,5,95 -> 5 : 1
15,5,95 -> 94 : 1
84,94,95 -> 94 : 1
84,94,95 -> 85 : 1
84,94,95 -> 5 : 1
5,95,85 -> 95 : 2
5,95,85 -> 75 : 1
94,93,92 -> 93 : 1
73,83,82 -> 81 : 1
22,23,22 -> 23 : 1
22,23,22 -> 21 : 1
12,22,23 -> 22 : 1
23,22,23 -> 22 : 1
54,53,54 -> 53 : 2
64,54,53 -> 54 : 1
64,54,53 -> 52 : 1
31,41,51 -> 50 : 1
31,41,51 -> 61 : 1
49,40,50 -> 40 : 1
50,40,50 -> 59 : 1
60,61,71 -> 70 : 1
60,61,71 -> 81 : 1
60,61,71 -> 61 : 2
61,71,70 -> 60 : 1
72,71,70 -> 80 : 2
70,79,78 -> 77 : 1
70,79,78 -> 68 : 1
78,79,78 -> 77 : 1
79,78,77 -> 87 : 1
79,78,77 -> 76 : 1
78,77,87 -> 86 : 2
87,77,87 -> 88 : 1
87,77,87 -> 77 : 2
87,77,87 -> 97 : 1
77,87,86 -> 76 : 1
77,87,86 -> 87 : 3
60,50,59 -> 50 : 1
60,50,59 -> 49 : 1
59,50,59 -> 50 : 1
40,50,40 -> 50 : 1
90,80,81 -> 91 : 1
56,57,67 -> 57 : 1
68,69,60 -> 69 : 1
79,69,60 -> 50 : 3
79,69,60 -> 70 : 1
79,69,60 -> 69 : 1
52,42,41 -> 40 : 1
43,42,41 -> 51 : 1
87,86,96 -> 86 : 1
76,86,96 -> 97 : 1
61,62,63 -> 62 : 1
59,69,60 -> 69 : 1
60,69,60 -> 61 : 2
60,69,60 -> 70 : 2
42,41,40 -> 41 : 1
51,41,40 -> 30 : 1
37,38,37 -> 27 : 1
50,40,30 -> 40 : 1
30,40,30 -> 20 : 1
1,91,1 -> 2 : 1
3,13,12 -> 2 : 2
3,13,12 -> 13 : 1
23,13,12 -> 2 : 1
2,12,22 -> 32 : 1
13,12,22 -> 32 : 1
12,22,32 -> 31 : 1
12,22,32 -> 33 : 1
41,42,43 -> 33 : 1
52,42,43 -> 44 : 1
52,42,43 -> 42 : 1
43,33,43 -> 33 : 1
32,33,43 -> 44 : 1
42,43,33 -> 34 : 1
44,43,33 -> 43 : 1
33,43,33 -> 34 : 1
33,34,44 -> 54 : 1
33,34,44 -> 45 : 1
44,34,44 -> 43 : 1
44,34,44 -> 45 : 1
35,34,44 -> 45 : 2
